URL,True_Label,Predicted_Label
https://deja324--veri345.repl.co,0,0
http://www.anobaka.jp,0,0
https://cllc08.web.app/,0,0
https://nutritioushotpinkrar.roepropaeor.repl.co/,0,0
http://www.get-myip.com,0,0
https://wordpress-944498-3286081.cloudwaysapps.com/wp-admin/network/lama/swisscom-ch-telegram/,0,0
https://www.thepathway2success.com,1,1
https://www.shorpy.com,1,1
https://www.ablecare.co.uk,1,1
http://www.8pines.com,0,0
https://www.allegiancelandscaping.com,1,1
https://www.fazfootball.com,1,1
https://www.peninsulaschool.org,1,1
https://www.purepolishproducts.com,1,1
https://bifast-m-bca-aktivasi.firebaseapp.com/,0,0
http://www.qacg.igmxw.com,0,0
https://www.onepay.co.uk,1,1
https://www.cofona.org,1,1
https://www.igel.de,1,1
https://athgd48gh98ij8754erct7ybfadcfunnuesb6j8us2i8nhjhgtfdedx.weebly.com/,0,0
https://www.hensonfoundation.org,1,1
https://www.cerebromente.org.br,1,1
https://www.allgaeu-cam.de,1,1
https://gateway.ipfs.io/ipfs/bafybeiekuj5hjv65vkzuujsqjm6npjlclh35u3jjqqtakieowszrdpiy7q//new_bg_jul.html,0,0
http://www.news-week.ru,0,0
https://olla-testtestkaje.firebaseapp.com/,0,0
https://www.brandonu.ca,1,1
https://www.lciaviation.com,1,1
https://www.goldeyes.com,1,1
http://www.polarprofessional.com/newdocument/87878687_8778878/_87876gxyttu/99877e.html,0,0
https://www.ejournal.karinosseff.org,1,1
http://www.5oo.de,0,0
http://www.btbt33.com,0,0
https://www.redotheweb.com,1,1
https://www.dynamsoft.com,1,1
https://www.madinin-art.net,1,1
https://comprobantes54678675.56786545.repl.co/,0,0
https://www.lutheranmountaineer.org,1,1
https://www.praxispeace.org,1,1
https://fiscohsaaa.repl.co/,0,0
http://www.f0581201.xsph.ru,0,0
https://www.southeastbusiness.com,1,1
https://www.mediapool.bg,1,1
https://www.flysas.com,1,1
https://www.donateblood.org,1,1
https://sessionlawgroup.com,0,0
https://new-order.me/hw2m17,0,0
https://www.stateofkerala.in,1,1
http://www.lyonfinancialusa.com,0,0
https://www.voxpi.info,1,1
http://www.virus.in,0,0
https://vbper-sistema-supporto.cfolks.pl/application/mobile/public/webapp/digital-login/,0,0
http://www.f0573397.xsph.ru,0,0
https://www.historia.fr,1,1
https://www.containerdistributors.com,1,1
https://www.charleston-sc.gov,1,1
https://www.satyagrahahouse.com,1,1
https://www.gamedynamo.com,1,1
http://www.jmxmetal-com.cf,0,0
https://www.radiyoyacuvoa.com,1,1
https://fhreyer.top/jp.php,0,0
https://sites.google.com/view/jcnvvn/home,0,0
https://www.bienaldolivrosp.com.br,1,1
https://micronicsolutions.com/cajatrujillo/clientehbpj/wflogin,0,0
https://www.cfg.me,0,1
http://www.photomaker.urlfb.co,0,0
https://www.yesvirginiabeach.com,1,1
https://www.pointbrealty.com,1,1
https://www.gallup.co.kr,1,1
https://www.arbesman.net,1,1
https://www.beigeplus.com,1,1
http://www.climaxnovels.com,0,0
http://att-mailaccess-103967.weeblysite.com/,0,0
https://www.biota-africa.org,1,1
http://www.corahicohood.com,0,0
http://www.nextbstrd.com,0,0
https://www.team-lab.com,1,1
https://www.morinaga.co.jp,1,1
https://mail.deliverylifesupport.com/public/bfpwajxsvb0blonjm6a3rkyzjtztci1n,0,0
http://dreamscorner.co.za/wp/wp-content/blf.htm,0,0
https://docs.google.com/presentation/d/e/2pacx-1vqpl0pgh8_mfci3an4e_68u-eed1trrgzaru2jdnlwatpk9j8ebjsh7xshgegnei6tfmmbfdtduunoa/pub?start=false&loop=false&delayms=3000,0,0
http://www.checkersontor.com/jp,0,0
https://www.pharmasug.org,1,1
http://www.goysl.ml,0,0
http://b4f746d5252.chefs-kitchen.co.uk/?b4f746d5252&serv=shootingzone.pl,0,0
http://www.qrot.apjgtipty.com,0,0
http://www.jmcbguuejijrubjompiesjigpaudpmog.cloud,0,0
https://www.regionfakta.com,1,1
https://ipfs.best-practice.se/ipfs/bafybeiai3z3i456cn25i7x7laemtf3g5mhd4lomkmypw5vnlquxnv7ti6u,0,0
http://www.cerdi.com,0,0
https://www.rewildingmag.com,1,1
http://www.eurostudiescy.com,0,0
https://www.usa.campusfrance.org,1,1
http://andyroy.com/secure/index.html,0,0
https://www.ivanabarac.com,1,1
http://www.steve-optikinetics-document.firebaseapp.com,0,0
https://handycupboard.com/?gclid=eaiaiqobchmizscgq9lg_qivp5_9bx3x4w62eaeyasaaegj_d_d_bwe,0,0
http://www.taabgroup.com,0,0
http://mail.deliverylifesupport.com/public/irctxofvzk1fonpk2gaocgbj4qjuuykg,0,0
https://mail2.googlle.workers.dev/,0,0
http://5fgfgfgfg4gh54.blogspot.co.id/,0,0
http://www.surfacesupplierscanada.com,0,0
http://www.budogalicia.com,0,0
https://www.cronacaflegrea.it,1,1
http://area-bnl.live/,0,0
http://www.39200628.oss-me-east-1.aliyuncs.com,0,0
https://www.tribuna.com.mx,1,1
http://www.rot-shaparak.ml,0,0
https://www.yugrupa.com,1,1
http://www.flew.oss-ap-southeast-3.aliyuncs.com,0,0
http://www.amfdc5u.firebaseapp.com,0,0
http://www.eg.gp,0,0
https://plain-cloud-056c.loh9z2f0.workers.dev/,0,0
http://www.tooller.tl-ip.com,0,0
https://www.bellelily.com,1,1
http://www.jdzpfw.com,0,0
https://www.riverbankonline.com,1,1
https://storageapi.fleek.co/d0578fac-4893-44c0-8e67-0aeab64d80da-bucket/kklll/roundcube.html,0,0
http://harrison.sepa-00980-force-drop.oa.r.appspot.com/?fbclid=iwar1cactdakbbiutcgln5jgnwoldrxjlj5t4zzoezobjfmxmpi0cdz4moyg8,0,0
https://www.pentagonchemical.com/js/dhll/billing.php,0,0
https://www.cinechronicle.com,1,1
https://securerc.ink/mail02.orange.fr/index.php,0,0
https://www.lakesidenaturecenter.org,1,1
http://www.ru.nu,0,0
